date,turn,adjust_factor,instrument,open,volume,low,deal_number,close,high,amount
2021-10-18,0.37598254731087954,111.92197,000001.SZA,2176.8823,72962250.0,2137.7095,80407.0,2158.9746,2188.0745,1408737777.0
2021-10-19,0.3516560775202738,111.92197,000001.SZA,2143.3057,68241515.0,2143.3057,69887.0,2190.313,2202.6243,1330501301.0
2021-10-20,0.34162833032545625,111.92197,000001.SZA,2210.4587,66295555.00000001,2147.7825,101511.0,2153.3787,2213.8164,1283356219.0
2021-10-21,0.8356598616606995,111.92197,000001.SZA,2184.7168,162166101.0,2154.4978,162239.0,2238.4392,2245.1545,3198266215.0
2021-10-22,0.5848593165816603,111.92197,000001.SZA,2256.347,113496362.99999999,2216.055,113706.0,2242.9163,2304.4734,2287284921.0
2021-10-25,0.37660387332093154,111.92197,000001.SZA,2205.982,73082823.0,2182.4783,87626.0,2251.8699,2260.8237,1458800089.0
2021-10-26,0.33639858776993004,111.92197,000001.SZA,2245.1545,65280684.0,2222.7703,80097.0,2244.0354,2288.8042,1313475882.0
2021-10-27,0.35432798600323423,111.92197,000001.SZA,2238.4392,68760019.0,2192.5513,92377.0,2229.4856,2257.466,1365982833.0
2021-10-28,0.31898316079256694,111.92197,000001.SZA,2216.055,61901089.0,2167.9285,83749.0,2207.101,2231.724,1211946109.0
2021-10-29,0.27823177949385036,111.92197,000001.SZA,2197.028,53992976.0,2162.3323,76331.0,2182.4783,2209.3396,1052760273.0
2021-11-01,0.43362921090446294,111.92197,000001.SZA,2163.4517,84149020.0,2127.6365,101655.0,2170.167,2208.2205,1626762029.0
